,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,average,sum,percentage
0,GP,F,18,2,GT3,1,4,4,at_home,teacher,course,mother,2,2,0,2,1,1,no,yes,yes,1,no,4,3,4,1,1,3,4,0,11,11,7.333333333333333,22,36.666666666666664
1,GP,F,17,2,GT3,2,1,1,at_home,other,course,father,1,2,0,1,2,1,no,no,yes,2,no,5,3,3,1,1,3,2,9,11,11,10.333333333333334,31,51.66666666666667
2,GP,F,15,2,LE3,2,1,1,at_home,other,other,mother,1,2,0,2,1,1,no,yes,yes,2,no,4,3,2,2,3,3,6,12,13,12,12.333333333333334,37,61.66666666666667
3,GP,F,15,2,GT3,2,4,2,health,services,home,mother,1,3,0,1,2,1,yes,yes,yes,2,yes,3,2,2,1,1,5,0,14,14,14,14.0,42,70.0
4,GP,F,16,2,GT3,2,3,3,other,other,home,father,1,2,0,1,2,1,no,yes,yes,1,no,4,3,2,1,2,5,0,11,13,13,12.333333333333334,37,61.66666666666667
5,GP,M,16,2,LE3,2,4,3,services,other,reputation,mother,1,2,0,1,2,1,yes,yes,yes,2,no,5,4,2,1,2,5,6,12,12,13,12.333333333333334,37,61.66666666666667
6,GP,M,16,2,LE3,2,2,2,other,other,home,mother,1,2,0,1,1,1,no,yes,yes,2,no,4,4,4,1,1,3,0,13,12,13,12.666666666666666,38,63.33333333333333
7,GP,F,17,2,GT3,1,4,4,other,teacher,home,mother,2,2,0,2,2,1,no,yes,yes,1,no,4,1,4,1,1,1,2,10,13,13,12.0,36,60.0
8,GP,M,15,2,LE3,1,3,2,services,other,home,mother,1,2,0,1,2,1,no,yes,yes,2,no,4,2,2,1,1,1,0,15,16,17,16.0,48,80.0
9,GP,M,15,2,GT3,2,3,4,other,other,home,mother,1,2,0,1,2,1,yes,yes,yes,2,no,5,5,1,1,1,5,0,12,12,13,12.333333333333334,37,61.66666666666667
10,GP,F,15,2,GT3,2,4,4,teacher,health,reputation,mother,1,2,0,1,2,1,no,yes,yes,2,no,3,3,3,1,2,2,2,14,14,14,14.0,42,70.0
11,GP,F,15,2,GT3,2,2,1,services,other,reputation,father,3,3,0,1,2,1,yes,yes,yes,2,no,5,2,2,1,1,4,0,10,12,13,11.666666666666666,35,58.333333333333336
12,GP,M,15,2,LE3,2,4,4,health,services,course,father,1,1,0,1,2,1,yes,yes,yes,2,no,4,3,3,1,3,5,0,12,13,12,12.333333333333334,37,61.66666666666667
13,GP,M,15,2,GT3,2,4,3,teacher,other,course,mother,2,2,0,1,2,1,no,yes,yes,2,no,5,4,3,1,2,3,0,12,12,13,12.333333333333334,37,61.66666666666667
14,GP,M,15,2,GT3,1,2,2,other,other,home,other,1,3,0,1,2,1,no,yes,yes,2,yes,4,5,2,1,1,3,0,14,14,15,14.333333333333334,43,71.66666666666667
15,GP,F,16,2,GT3,2,4,4,health,other,home,mother,1,1,0,1,2,1,no,yes,yes,2,no,4,4,4,1,2,2,6,17,17,17,17.0,51,85.0
16,GP,F,16,2,GT3,2,4,4,services,services,reputation,mother,1,3,0,1,2,1,yes,yes,yes,2,no,3,2,3,1,2,2,10,13,13,14,13.333333333333334,40,66.66666666666666
17,GP,F,16,2,GT3,2,3,3,other,other,reputation,mother,3,2,0,2,2,1,yes,yes,yes,1,no,5,3,2,1,1,4,2,13,14,14,13.666666666666666,41,68.33333333333333
18,GP,M,17,2,GT3,2,3,2,services,services,course,mother,1,1,3,1,2,2,yes,yes,yes,2,no,5,5,5,2,4,5,2,8,8,7,7.666666666666667,23,38.333333333333336
19,GP,M,16,2,LE3,2,4,3,health,other,home,father,1,1,0,1,1,1,yes,yes,yes,2,no,3,1,3,1,3,5,6,12,12,12,12.0,36,60.0
20,GP,M,15,2,GT3,2,4,3,teacher,other,reputation,mother,1,2,0,1,1,1,no,yes,yes,2,no,4,4,1,1,1,1,0,12,13,14,13.0,39,65.0
21,GP,M,15,2,GT3,2,4,4,health,health,other,father,1,1,0,1,2,2,no,yes,yes,2,no,5,4,2,1,1,5,0,11,12,12,11.666666666666666,35,58.333333333333336
22,GP,M,16,2,LE3,2,4,2,teacher,other,course,mother,1,2,0,1,1,1,yes,yes,yes,2,no,4,5,1,1,3,5,0,12,13,14,13.0,39,65.0
23,GP,M,16,2,LE3,2,2,2,other,other,reputation,mother,2,2,0,1,2,1,yes,yes,yes,2,no,5,4,4,2,4,5,2,10,10,10,10.0,30,50.0
24,GP,F,15,1,GT3,2,2,4,services,health,course,mother,1,3,0,2,2,1,yes,yes,yes,2,no,4,3,2,1,1,5,2,10,11,10,10.333333333333334,31,51.66666666666667
25,GP,F,16,2,GT3,2,2,2,services,services,home,mother,1,1,0,1,2,1,no,no,yes,2,no,1,2,2,1,3,5,6,10,11,12,11.0,33,55.00000000000001
26,GP,M,15,2,GT3,2,2,2,other,other,home,mother,1,1,0,1,2,1,no,yes,yes,2,no,4,2,2,1,2,5,8,11,12,12,11.666666666666666,35,58.333333333333336
27,GP,M,15,2,GT3,2,4,2,health,services,other,mother,1,1,0,1,1,1,no,yes,yes,2,no,2,2,4,2,4,1,0,11,11,11,11.0,33,55.00000000000001
28,GP,M,16,2,LE3,1,3,4,services,other,home,mother,1,2,0,2,2,2,yes,yes,yes,2,no,5,3,3,1,1,5,2,12,12,13,12.333333333333334,37,61.66666666666667
29,GP,M,16,2,GT3,2,4,4,teacher,teacher,home,mother,1,2,0,1,2,2,yes,yes,yes,2,yes,4,4,5,5,5,5,4,12,11,12,11.666666666666666,35,58.333333333333336
30,GP,M,15,2,GT3,2,4,4,health,services,home,mother,1,2,0,1,2,2,no,no,yes,2,no,5,4,2,3,4,5,0,10,11,11,10.666666666666666,32,53.333333333333336
31,GP,M,15,2,GT3,2,4,4,services,services,reputation,mother,2,2,0,1,2,1,yes,yes,yes,2,no,4,3,1,1,1,5,2,15,15,15,15.0,45,75.0
32,GP,M,15,1,GT3,2,4,3,teacher,at_home,course,mother,1,2,0,1,2,1,yes,yes,yes,2,yes,4,5,2,1,1,5,0,13,14,15,14.0,42,70.0
33,GP,M,15,2,LE3,2,3,3,other,other,course,mother,1,2,0,1,1,1,yes,no,yes,2,no,5,3,2,1,1,2,0,13,12,12,12.333333333333334,37,61.66666666666667
34,GP,M,16,2,GT3,2,3,2,other,other,home,mother,1,1,0,1,2,1,no,no,yes,2,no,5,4,3,1,1,5,4,12,12,12,12.0,36,60.0
35,GP,F,15,2,GT3,2,2,3,other,other,other,father,2,1,0,1,2,1,yes,yes,yes,1,no,3,5,1,1,1,5,4,11,11,11,11.0,33,55.00000000000001
36,GP,M,15,2,LE3,2,4,3,teacher,services,home,mother,1,3,0,1,2,1,yes,yes,yes,2,no,5,4,3,1,1,4,0,14,14,14,14.0,42,70.0
37,GP,M,16,1,GT3,1,4,4,other,teacher,reputation,mother,2,3,0,1,2,1,yes,yes,yes,2,yes,2,4,3,1,1,5,4,13,13,13,13.0,39,65.0
38,GP,F,15,1,GT3,2,3,4,services,health,course,mother,1,3,0,2,2,1,yes,yes,yes,2,no,4,3,2,1,1,5,2,11,12,12,11.666666666666666,35,58.333333333333336
39,GP,F,15,1,GT3,2,2,2,at_home,other,reputation,mother,1,1,0,2,2,1,yes,yes,yes,1,no,4,3,1,1,1,2,8,14,13,12,13.0,39,65.0
40,GP,F,16,2,LE3,2,2,2,other,other,home,mother,2,2,0,1,2,1,yes,no,yes,2,yes,3,3,3,1,2,3,16,11,11,10,10.666666666666666,32,53.333333333333336
41,GP,M,15,2,LE3,2,4,4,teacher,other,home,other,1,1,0,1,2,1,no,no,yes,2,yes,5,4,3,2,4,5,8,10,11,11,10.666666666666666,32,53.333333333333336
42,GP,M,15,2,GT3,2,4,4,services,teacher,course,father,1,2,0,1,2,1,yes,yes,yes,2,no,4,3,3,1,1,5,0,14,15,15,14.666666666666666,44,73.33333333333333
43,GP,M,15,2,GT3,2,2,2,services,services,course,father,1,1,0,2,2,1,no,yes,yes,2,no,5,4,1,1,1,1,0,9,10,10,9.666666666666666,29,48.333333333333336
44,GP,F,16,2,LE3,2,2,2,other,at_home,course,father,2,2,1,2,1,1,yes,yes,yes,2,no,4,3,3,2,2,5,14,10,11,11,10.666666666666666,32,53.333333333333336
45,GP,F,15,2,LE3,1,4,3,other,other,course,mother,1,2,0,2,2,2,yes,yes,yes,2,yes,5,2,2,1,1,5,4,10,11,11,10.666666666666666,32,53.333333333333336
46,GP,F,16,2,LE3,1,3,3,other,services,home,mother,1,2,0,1,2,1,no,yes,yes,2,no,2,3,5,1,4,3,6,13,12,13,12.666666666666666,38,63.33333333333333
47,GP,M,16,2,GT3,2,4,3,health,services,reputation,mother,1,4,0,1,1,1,yes,yes,yes,2,no,4,2,2,1,1,2,2,17,17,17,17.0,51,85.0
48,GP,M,15,2,GT3,2,4,2,teacher,other,home,mother,1,2,0,1,2,1,no,yes,yes,1,no,4,3,3,2,2,5,4,11,12,13,12.0,36,60.0
49,GP,F,15,2,GT3,2,4,4,services,teacher,other,father,1,2,0,2,2,1,yes,no,yes,2,no,4,4,4,1,1,3,2,13,12,12,12.333333333333334,37,61.66666666666667
50,GP,F,16,2,LE3,2,2,2,services,services,course,mother,3,2,0,1,2,1,no,yes,yes,2,no,4,3,3,2,3,4,0,14,13,13,13.333333333333334,40,66.66666666666666
51,GP,F,15,2,LE3,2,4,2,health,other,other,mother,1,2,0,1,2,1,no,yes,yes,2,no,4,3,3,1,1,5,0,16,14,16,15.333333333333334,46,76.66666666666667
52,GP,M,15,2,LE3,1,4,2,health,health,other,father,2,1,0,1,1,1,no,yes,yes,1,no,5,5,5,3,4,5,4,10,9,9,9.333333333333334,28,46.666666666666664
53,GP,F,15,2,GT3,2,4,4,services,services,course,mother,1,1,0,2,2,1,no,yes,yes,2,no,3,3,4,2,3,5,0,13,12,12,12.333333333333334,37,61.66666666666667
54,GP,F,15,2,LE3,1,3,3,other,other,other,mother,1,1,0,1,1,1,no,yes,yes,2,no,5,3,4,4,4,1,0,13,12,13,12.666666666666666,38,63.33333333333333
55,GP,F,16,2,GT3,1,2,1,other,other,other,mother,1,2,0,1,1,1,yes,yes,yes,2,yes,5,3,4,1,1,2,2,12,13,12,12.333333333333334,37,61.66666666666667
56,GP,F,15,2,GT3,1,4,3,services,services,reputation,mother,1,2,0,1,2,1,yes,yes,yes,2,no,4,3,2,1,1,1,0,15,14,15,14.666666666666666,44,73.33333333333333
57,GP,M,15,2,GT3,2,4,4,teacher,health,reputation,mother,1,2,0,1,2,1,yes,yes,yes,1,no,3,2,2,1,1,5,8,15,15,16,15.333333333333334,46,76.66666666666667
58,GP,M,15,2,LE3,2,1,2,other,at_home,home,father,1,2,0,2,2,1,yes,yes,yes,2,no,4,3,2,1,1,5,0,14,13,14,13.666666666666666,41,68.33333333333333
59,GP,F,16,2,GT3,2,4,2,services,other,course,mother,1,2,0,1,2,2,no,yes,yes,2,no,4,2,3,1,1,5,2,16,15,16,15.666666666666666,47,78.33333333333333
60,GP,F,16,1,GT3,2,4,4,health,teacher,other,mother,1,2,0,1,2,1,yes,yes,yes,1,no,2,4,4,2,3,4,0,17,16,16,16.333333333333332,49,81.66666666666667
61,GP,F,16,2,GT3,2,1,1,services,services,course,father,4,1,0,2,2,1,yes,no,yes,2,yes,5,5,5,5,5,5,0,10,10,16,12.0,36,60.0
62,GP,F,16,2,LE3,2,1,2,other,services,reputation,father,1,2,0,2,1,1,yes,yes,yes,2,no,4,4,3,1,1,1,0,13,13,10,12.0,36,60.0
63,GP,F,16,2,GT3,2,4,3,teacher,health,home,mother,1,3,0,2,2,1,yes,yes,yes,2,no,3,4,4,2,4,4,0,14,13,13,13.333333333333334,40,66.66666666666666
64,GP,F,15,2,LE3,2,4,3,services,services,reputation,father,1,2,0,2,1,1,yes,yes,yes,2,yes,4,4,4,2,4,2,0,13,12,12,12.333333333333334,37,61.66666666666667
65,GP,F,16,2,LE3,2,4,3,teacher,services,course,mother,3,2,0,1,2,1,yes,yes,yes,2,no,5,4,3,1,2,1,2,16,15,16,15.666666666666666,47,78.33333333333333
66,GP,M,15,2,GT3,1,4,4,other,services,reputation,mother,1,4,0,1,2,1,yes,no,yes,2,yes,1,3,3,5,5,3,0,11,12,12,11.666666666666666,35,58.333333333333336
67,GP,F,16,2,GT3,2,3,1,services,other,course,mother,1,4,0,2,2,1,no,yes,yes,2,no,4,3,3,1,2,5,0,10,9,10,9.666666666666666,29,48.333333333333336
68,GP,F,15,1,LE3,2,2,2,health,services,reputation,mother,2,2,0,2,2,1,no,yes,yes,2,no,4,1,3,1,3,4,0,11,10,11,10.666666666666666,32,53.333333333333336
69,GP,F,15,1,LE3,2,3,1,other,other,reputation,father,2,4,0,1,2,1,no,no,yes,2,no,4,4,2,2,3,3,6,15,15,15,15.0,45,75.0
70,GP,M,16,2,GT3,2,3,1,other,other,reputation,father,2,4,0,1,2,1,no,yes,yes,2,no,4,3,2,1,1,5,2,13,11,11,11.666666666666666,35,58.333333333333336
71,GP,M,15,2,GT3,2,4,2,other,other,course,mother,1,4,0,1,1,1,no,yes,yes,2,no,3,3,3,1,1,3,0,11,9,10,10.0,30,50.0
72,GP,F,15,1,GT3,2,1,1,other,other,reputation,mother,1,2,0,2,2,1,no,no,yes,2,yes,3,3,4,2,4,5,2,13,11,11,11.666666666666666,35,58.333333333333336
73,GP,M,16,2,GT3,2,3,1,other,other,reputation,mother,1,1,0,1,1,1,yes,yes,yes,1,no,5,3,2,2,2,5,0,13,13,14,13.333333333333334,40,66.66666666666666
74,GP,F,16,2,GT3,2,3,3,other,services,home,mother,1,2,0,2,2,1,yes,yes,yes,2,no,4,3,3,2,4,5,4,11,11,11,11.0,33,55.00000000000001
75,GP,M,15,2,GT3,2,4,3,teacher,other,home,mother,1,2,0,1,2,1,yes,yes,yes,2,no,4,3,3,2,3,5,0,11,11,11,11.0,33,55.00000000000001
76,GP,M,15,2,GT3,2,4,0,teacher,other,course,mother,2,4,0,1,1,1,yes,yes,yes,2,no,3,4,3,1,1,1,0,12,11,11,11.333333333333334,34,56.666666666666664
77,GP,F,16,2,GT3,2,2,2,other,other,reputation,mother,1,4,0,1,1,1,no,yes,yes,2,yes,5,2,3,1,3,3,1,13,13,13,13.0,39,65.0
78,GP,M,17,2,GT3,2,2,1,other,other,home,mother,2,1,3,2,2,1,yes,yes,no,2,no,4,5,1,1,1,3,0,9,9,10,9.333333333333334,28,46.666666666666664
79,GP,F,16,2,GT3,2,3,4,at_home,other,course,mother,1,2,0,1,2,1,no,yes,yes,2,no,2,4,3,1,2,3,14,12,11,11,11.333333333333334,34,56.666666666666664
80,GP,M,15,2,GT3,2,2,3,other,services,course,father,1,1,0,2,2,1,yes,no,yes,2,yes,3,2,2,1,3,3,0,11,11,12,11.333333333333334,34,56.666666666666664
81,GP,M,15,2,GT3,2,2,3,other,other,home,mother,1,3,0,2,1,1,no,no,yes,2,no,5,3,2,1,2,5,2,10,9,9,9.333333333333334,28,46.666666666666664
82,GP,F,15,2,LE3,2,3,2,services,other,reputation,mother,1,2,0,1,2,1,no,yes,yes,2,no,4,4,4,1,1,5,4,12,11,11,11.333333333333334,34,56.666666666666664
83,GP,M,15,2,LE3,2,2,2,services,services,home,mother,2,2,0,1,1,2,yes,yes,yes,2,no,5,3,3,1,3,4,2,13,12,13,12.666666666666666,38,63.33333333333333
84,GP,F,15,2,GT3,2,1,1,other,other,home,father,1,2,0,1,2,1,yes,no,yes,2,no,4,3,2,2,3,4,2,13,12,12,12.333333333333334,37,61.66666666666667
85,GP,F,15,2,GT3,2,4,4,services,services,reputation,father,2,2,0,1,1,1,no,yes,yes,2,yes,4,4,4,2,3,5,4,12,11,12,11.666666666666666,35,58.333333333333336
86,GP,F,16,2,LE3,2,2,2,at_home,other,course,mother,1,2,0,1,2,1,no,yes,yes,1,no,4,3,4,1,2,2,6,13,11,11,11.666666666666666,35,58.333333333333336
87,GP,F,15,2,GT3,2,4,2,other,other,reputation,mother,1,3,0,1,2,1,yes,yes,yes,2,no,5,3,3,1,3,1,4,15,15,15,15.0,45,75.0
88,GP,M,16,2,GT3,2,2,2,services,other,reputation,father,2,2,0,1,1,1,yes,no,yes,2,no,4,4,2,1,1,3,6,12,10,11,11.0,33,55.00000000000001
89,GP,M,16,2,LE3,1,4,4,teacher,health,reputation,mother,1,2,0,1,2,1,no,yes,yes,1,no,4,1,3,3,5,5,6,9,9,10,9.333333333333334,28,46.666666666666664
90,GP,F,16,2,GT3,2,3,3,other,other,home,mother,1,3,0,1,2,1,no,yes,yes,2,yes,4,3,3,1,3,4,2,9,11,11,10.333333333333334,31,51.66666666666667
91,GP,F,15,2,GT3,2,4,3,services,other,reputation,mother,1,1,0,1,1,1,yes,yes,yes,2,no,4,5,5,1,3,1,6,14,13,13,13.333333333333334,40,66.66666666666666
92,GP,F,16,2,LE3,2,3,1,other,other,home,father,1,2,0,2,2,1,no,yes,yes,1,no,3,3,3,2,3,2,0,12,13,12,12.333333333333334,37,61.66666666666667
93,GP,F,16,2,GT3,2,4,2,teacher,services,home,mother,2,2,0,1,2,1,yes,yes,yes,2,no,5,3,3,1,1,1,2,13,14,14,13.666666666666666,41,68.33333333333333
94,GP,M,15,2,LE3,2,2,2,services,health,reputation,mother,1,4,0,1,2,1,yes,yes,yes,2,no,4,3,4,1,1,4,2,11,12,12,11.666666666666666,35,58.333333333333336
95,GP,F,15,1,GT3,2,1,1,at_home,other,home,mother,2,4,0,2,2,2,yes,yes,yes,2,no,3,1,2,1,1,1,4,13,13,13,13.0,39,65.0
96,GP,M,16,1,GT3,2,4,3,services,other,reputation,mother,2,1,0,2,2,2,yes,no,yes,2,no,3,3,3,1,1,4,6,9,11,11,10.333333333333334,31,51.66666666666667
97,GP,F,16,2,GT3,2,2,1,other,other,course,mother,1,2,0,1,2,1,no,yes,yes,1,yes,4,3,5,1,1,5,0,13,12,12,12.333333333333334,37,61.66666666666667
98,GP,F,16,2,GT3,2,4,4,other,other,reputation,mother,1,1,0,1,1,1,yes,no,yes,2,no,5,3,4,1,2,1,4,12,13,13,12.666666666666666,38,63.33333333333333
99,GP,F,16,2,GT3,2,4,3,other,at_home,course,mother,1,3,0,2,2,1,no,yes,yes,2,no,5,3,5,1,1,3,2,12,13,13,12.666666666666666,38,63.33333333333333
100,GP,M,16,2,GT3,2,4,4,services,services,other,mother,1,1,0,2,2,1,yes,yes,yes,2,no,4,5,5,5,5,4,12,9,9,8,8.666666666666666,26,43.333333333333336
101,GP,M,16,2,GT3,2,4,4,services,teacher,other,father,1,3,0,1,2,1,yes,yes,yes,2,yes,4,4,3,1,1,4,0,16,16,16,16.0,48,80.0
102,GP,M,15,2,GT3,2,4,4,services,other,course,mother,1,1,0,1,2,2,yes,no,yes,2,no,5,3,3,1,1,5,2,12,13,12,12.333333333333334,37,61.66666666666667
103,GP,F,15,2,GT3,2,3,2,services,other,home,mother,2,2,0,2,2,1,no,yes,yes,2,no,4,3,5,1,1,2,16,11,10,10,10.333333333333334,31,51.66666666666667
104,GP,M,15,2,GT3,1,3,4,services,other,course,mother,1,2,0,1,2,1,yes,yes,yes,2,no,5,4,4,1,1,1,0,16,16,16,16.0,48,80.0
105,GP,F,15,2,GT3,1,3,3,other,health,reputation,father,1,4,0,2,1,1,no,yes,yes,1,no,4,3,3,1,1,4,10,10,10,10,10.0,30,50.0
106,GP,F,15,2,GT3,2,2,2,other,other,course,mother,1,4,0,2,2,1,no,yes,yes,2,no,5,1,2,1,1,3,4,10,10,10,10.0,30,50.0
107,GP,M,16,2,GT3,2,3,3,services,other,home,father,1,3,0,1,2,1,yes,yes,yes,2,no,5,3,3,1,1,5,4,13,14,14,13.666666666666666,41,68.33333333333333
108,GP,M,15,1,GT3,2,4,4,other,other,home,father,4,4,0,1,2,1,yes,yes,yes,2,yes,1,3,5,3,5,1,8,12,10,11,11.0,33,55.00000000000001
109,GP,F,16,2,LE3,2,4,4,health,health,other,mother,1,3,0,1,2,1,yes,yes,yes,2,yes,5,4,5,1,1,4,2,15,15,14,14.666666666666666,44,73.33333333333333
110,GP,M,15,2,LE3,1,4,4,teacher,teacher,course,mother,1,1,0,1,1,1,yes,yes,yes,2,no,5,5,3,1,1,4,4,13,14,14,13.666666666666666,41,68.33333333333333
111,GP,F,16,1,GT3,2,3,3,services,other,reputation,father,1,3,0,2,2,1,yes,yes,yes,2,no,4,1,2,1,1,2,4,11,11,11,11.0,33,55.00000000000001
112,GP,F,16,2,GT3,2,2,2,at_home,other,home,mother,1,2,1,2,1,1,yes,yes,yes,2,no,3,1,2,1,1,5,12,8,10,10,9.333333333333334,28,46.666666666666664
113,GP,M,15,2,LE3,2,4,2,teacher,other,course,mother,1,1,0,1,1,1,no,yes,yes,2,no,3,5,2,1,1,3,10,18,17,18,17.666666666666668,53,88.33333333333333
114,GP,M,15,1,GT3,2,2,1,health,services,reputation,mother,1,2,0,1,1,1,yes,yes,yes,2,yes,5,4,2,1,1,5,4,10,9,10,9.666666666666666,29,48.333333333333336
115,GP,M,16,2,GT3,2,4,4,teacher,teacher,course,father,1,2,0,1,2,1,yes,yes,yes,2,no,5,4,4,1,2,5,6,16,14,14,14.666666666666666,44,73.33333333333333
116,GP,M,15,2,GT3,2,4,4,other,teacher,reputation,father,2,2,0,1,2,1,yes,yes,yes,1,no,4,4,3,1,1,2,4,16,15,16,15.666666666666666,47,78.33333333333333
117,GP,M,16,2,GT3,2,3,3,other,services,home,father,2,1,0,1,1,1,yes,yes,yes,2,no,5,4,2,1,1,5,6,14,14,15,14.333333333333334,43,71.66666666666667
118,GP,M,17,1,GT3,2,1,3,other,other,course,father,3,2,1,1,2,1,yes,yes,yes,2,no,5,2,4,1,4,5,14,12,11,11,11.333333333333334,34,56.666666666666664
119,GP,M,15,2,GT3,2,3,4,other,other,reputation,father,1,1,0,1,1,1,no,yes,yes,2,no,3,4,3,1,2,4,2,14,13,14,13.666666666666666,41,68.33333333333333
120,GP,F,15,2,GT3,2,1,2,at_home,services,course,mother,1,2,0,1,1,1,no,no,yes,2,no,3,2,3,1,2,1,0,14,14,14,14.0,42,70.0
121,GP,M,15,2,GT3,2,2,2,services,services,home,father,1,4,0,1,2,1,yes,yes,yes,2,no,5,5,4,1,2,5,6,14,13,13,13.333333333333334,40,66.66666666666666
122,GP,F,16,2,LE3,2,2,4,other,health,course,father,2,2,0,1,2,1,yes,yes,yes,2,yes,4,2,2,1,2,5,2,14,12,13,13.0,39,65.0
123,GP,M,16,2,GT3,2,4,4,health,other,course,mother,1,1,0,1,2,1,yes,yes,yes,2,no,3,4,4,1,4,5,4,12,13,13,12.666666666666666,38,63.33333333333333
124,GP,F,16,2,GT3,2,2,2,other,other,home,mother,1,2,0,1,1,1,no,yes,yes,2,yes,5,4,4,1,1,5,0,12,11,11,11.333333333333334,34,56.666666666666664
125,GP,M,15,2,GT3,2,3,4,services,services,home,father,1,1,0,2,1,1,no,yes,yes,2,no,5,5,5,3,2,5,2,9,9,9,9.0,27,45.0
